Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Original_label
278451,13,58924,3387,443,6,18-08-2017 09:24,19121,1,1,0,0,0,0,0,0,0,0,0,0,0,104.5970399,19121,0,19121,19121,0,0,0,0,0,0,0,0,0,0,0,32,44,52.2985,52.2985,0,0,0,0,0,0,0,0,1,0,1,0,0,0,32,1,0,1,0,1594,179,0,32,0,0,0,0,0,0,0,0,44,SMSMALWARE_ZSONE
8280,13,47222,20,53,17,07-08-2017 12:56,61603,1,1,44,84,44,44,44,0,84,84,84,0,2077.82,32.46595133,61603,0,61603,61603,0,0,0,0,0,0,0,0,0,0,0,32,32,16.233,16.233,44,84,57.3333,23.09401077,533.333,0,0,0,0,0,1,86,44,84,32,1,44,1,84,-1,-1,0,32,0,0,0,0,0,0,0,0,10,BENIGN
200151,11,49027,2009,443,6,07-07-2017 06:09,36801,1,1,0,0,0,0,0,0,0,0,0,0,0,54.34634928,36801,0,36801,36801,0,0,0,0,0,0,0,0,0,0,0,32,32,27.1732,27.1732,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,1635,357,0,32,0,0,0,0,0,0,0,0,10,BENIGN
101173,12,40117,426,443,6,17-06-2017 12:12,2945940,3,0,0,0,0,0,0,0,0,0,0,0,0,1.018351025,1472970,2022650,2903200,42743,2945940,1472970,2022650,2903200,42743,0,0,0,0,0,0,60,0,1.01835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,10,BENIGN
180494,13,51540,1529,5001,6,30-06-2017 05:42,1000710,2,0,0,0,0,0,0,0,0,0,0,0,0,1.998575016,1000710,0,1000710,1000713,1000710,1000710,0,1000710,1000710,0,0,0,0,0,0,80,0,1.99858,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,2,0,0,0,65535,-1,0,40,0,0,0,0,0,0,0,0,10,BENIGN
250570,12,47489,2771,443,6,29-06-2017 10:26,17542300,4,2,0,0,0,0,0,0,0,0,0,0,0,0.342030933,3508450,6490630,14997500,2240,17542300,5847420,8005910,15021000,271278,14999700,14999700,0,14999700,14999700,0,148,80,0.228021,0.11401,0,0,0,0,0,0,0,1,0,0,0,0,0,0,148,4,0,2,0,65535,28960,0,32,271278,0,271278,271278,14997500,0,14997500,14997500,30,SCAREWARE_FAKEJOBOFFER
31017,11,9590,20,53,17,26-06-2017 01:48,60229,1,1,40,80,40,40,40,0,80,80,80,0,1992.4,33.20659483,60229,0,60229,60229,0,0,0,0,0,0,0,0,0,0,0,40,32,16.6033,16.6033,40,80,53.3333,23.09401077,533.333,0,0,0,0,0,1,80,40,80,40,1,40,1,80,-1,-1,0,40,0,0,0,0,0,0,0,0,22,SCAREWARE
111110,12,60078,818,80,6,31-08-2017 03:23,10533200,4,5,364,2092,364,0,91,182,1460,0,418.4,643.376,233.168,0.854441439,1316650,3508230,9994350,52,538845,179615,155099,272726,570,10273700,2568430,4955450,9999080,52,0,100,112,0.379752,0.47469,0,1460,245.6,478.4612373,228925,0,0,1,0,0,1,272.889,91,418.4,100,4,364,5,2092,65535,511,1,20,0,0,0,0,0,0,0,0,17,RANSOMWARE_PORNDROID
212048,13,34716,2119,443,6,22-06-2017 12:05,21205200,2,0,0,0,0,0,0,0,0,0,0,0,0,0.094316475,21205200,0,21205200,21205203,21205200,21205200,0,21205200,21205200,0,0,0,0,0,0,64,0,0.0943165,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,64,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,10,BENIGN
150770,13,58310,755,443,6,28-08-2017 03:30,21847100,2,0,0,0,0,0,0,0,0,0,0,0,0,0.091545528,21847100,0,21847100,21847053,21847100,21847100,0,21847100,21847100,0,0,0,0,0,0,40,0,0.0915455,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,2,0,0,0,1913,-1,0,20,0,0,0,0,0,0,0,0,20,RANSOMWARE_SVPENG
