Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Original_label
1255,4,58924,319,443,6,2017-08-18 09:24:00,19121,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,104.59703990000001,19121.0,0.0,19121,19121,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,44,52.2985,52.2985,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0.0,0.0,0.0,32,1,0,1,0,1594,179,0,32,0.0,0.0,0,0,0,0.0,0,0,44,SMSMALWARE_ZSONE
36,4,47222,0,53,17,2017-08-07 12:56:00,61603,1,1,44,84,44,44,44.0,0.0,84,84,84.0,0.0,2077.82,32.46595133,61603.0,0.0,61603,61603,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,16.233,16.233,44,84,57.3333,23.09401077,533.3330000000001,0,0,0,0,0,1,86.0,44.0,84.0,32,1,44,1,84,-1,-1,0,32,0.0,0.0,0,0,0,0.0,0,0,10,BENIGN
927,2,49027,162,443,6,2017-07-07 06:09:00,36801,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54.34634928,36801.0,0.0,36801,36801,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,27.1732,27.1732,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,1635,357,0,32,0.0,0.0,0,0,0,0.0,0,0,10,BENIGN
461,3,40117,44,443,6,2017-06-17 12:12:00,2945940,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.018351025,1472970.0,2022650.0,2903200,42743,2945940,1472970.0,2022650.0,2903200,42743,0,0.0,0.0,0,0,0,60,0,1.01835,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,60,3,0,0,0,65535,-1,0,20,0.0,0.0,0,0,0,0.0,0,0,10,BENIGN
829,4,51540,116,5001,6,2017-06-30 05:42:00,1000710,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.998575016,1000710.0,0.0,1000710,1000713,1000710,1000710.0,0.0,1000710,1000710,0,0.0,0.0,0,0,0,80,0,1.99858,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,80,2,0,0,0,65535,-1,0,40,0.0,0.0,0,0,0,0.0,0,0,10,BENIGN
1135,3,47489,267,443,6,2017-06-29 10:26:00,17542300,4,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.342030933,3508450.0,6490630.0,14997500,2240,17542300,5847420.0,8005910.0,15021000,271278,14999700,14999700.0,0.0,14999700,14999700,0,148,80,0.228021,0.11400999999999999,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,148,4,0,2,0,65535,28960,0,32,271278.0,0.0,271278,271278,14997500,0.0,14997500,14997500,30,SCAREWARE_FAKEJOBOFFER
142,2,9590,0,53,17,2017-06-26 01:48:00,60229,1,1,40,80,40,40,40.0,0.0,80,80,80.0,0.0,1992.4,33.20659483,60229.0,0.0,60229,60229,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,32,16.6033,16.6033,40,80,53.3333,23.09401077,533.3330000000001,0,0,0,0,0,1,80.0,40.0,80.0,40,1,40,1,80,-1,-1,0,40,0.0,0.0,0,0,0,0.0,0,0,22,SCAREWARE
499,3,60078,73,80,6,2017-08-31 03:23:00,10533200,4,5,364,2092,364,0,91.0,182.0,1460,0,418.4,643.376,233.168,0.854441439,1316650.0,3508230.0,9994350,52,538845,179615.0,155099.0,272726,570,10273700,2568430.0,4955450.0,9999080,52,0,100,112,0.379752,0.47468999999999995,0,1460,245.6,478.4612373,228925.0,0,0,1,0,0,1,272.889,91.0,418.4,100,4,364,5,2092,65535,511,1,20,0.0,0.0,0,0,0,0.0,0,0,17,RANSOMWARE_PORNDROID
988,4,34716,191,443,6,2017-06-22 12:05:00,21205200,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.094316475,21205200.0,0.0,21205200,21205203,21205200,21205200.0,0.0,21205200,21205200,0,0.0,0.0,0,0,0,64,0,0.0943165,0.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,64,2,0,0,0,1369,-1,0,32,0.0,0.0,0,0,0,0.0,0,0,10,BENIGN
697,4,58310,63,443,6,2017-08-28 03:30:00,21847100,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.091545528,21847100.0,0.0,21847100,21847053,21847100,21847100.0,0.0,21847100,21847100,0,0.0,0.0,0,0,0,40,0,0.0915455,0.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,40,2,0,0,0,1913,-1,0,20,0.0,0.0,0,0,0,0.0,0,0,20,RANSOMWARE_SVPENG
309,2,60011,494,80,6,2017-06-30 09:57:00,60369300,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.066258863,20123100.0,34654800.0,60139000,91576,230316,230316.0,0.0,230316,230316,60230500,60230500.0,0.0,60230500,60230500,0,72,72,0.0331294,0.0331294,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,0.0,0.0,72,2,0,2,0,65535,55,0,32,0.0,0.0,0,0,0,0.0,0,0,36,SMSMALWARE_FAKEINST
898,3,59167,149,443,6,2017-06-27 04:51:00,40830,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,48.983590500000005,40830.0,0.0,40830,40830,40830,40830.0,0.0,40830,40830,0,0.0,0.0,0,0,0,64,0,48.9836,0.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,64,2,0,0,0,362,-1,0,32,0.0,0.0,0,0,0,0.0,0,0,27,SCAREWARE_FAKEAPP
390,3,46987,0,53,17,2017-06-30 10:42:00,382750,1,1,36,136,36,36,36.0,0.0,136,136,136.0,0.0,449.379,5.225342913,382750.0,0.0,382750,382750,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,2.61267,2.61267,36,136,69.3333,57.73502692,3333.33,0,0,0,0,0,1,104.0,36.0,136.0,20,1,36,1,136,-1,-1,0,20,0.0,0.0,0,0,0,0.0,0,0,38,SMSMALWARE_FAKENOTIFY
308,136,443,1,39226,6,2017-06-13 09:30:00,2188,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,914.0767824,2188.0,0.0,2188,2188,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,457.038,457.038,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,61,1595,0,32,0.0,0.0,0,0,0,0.0,0,0,1,ADWARE_EWIND
657,4,32977,6,443,6,2017-04-07 10:04:00,1787360,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.118966254,1787360.0,0.0,1787360,1787364,1787360,1787360.0,0.0,1787360,1787360,0,0.0,0.0,0,0,0,40,0,1.11897,0.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,40,2,0,0,0,1369,-1,0,20,0.0,0.0,0,0,0,0.0,0,0,31,SCAREWARE_FAKETAOBAO
243,110,443,1,45345,6,2017-06-30 12:07:00,37330,2,3,0,31,0,0,0.0,0.0,31,0,10.3333,17.8979,830.431,133.9405304,9332.5,11189.9,22547,12,37330,37330.0,0.0,37330,37330,98,49.0,52.3259,86,12,0,52,108,53.5762,80.3643,0,31,5.16667,12.655697,160.167,0,0,0,1,1,1,6.2,0.0,10.3333,52,2,0,3,31,122,1369,0,20,0.0,0.0,0,0,0,0.0,0,0,32,SCAREWARE_PENETHO
703,4,50739,66,80,6,2017-06-26 10:33:00,24083500,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.083044377,24083500.0,0.0,24083500,24083509,24083500,24083500.0,0.0,24083500,24083500,0,0.0,0.0,0,0,0,40,0,0.08304439999999999,0.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,40,2,0,0,0,2172,-1,0,20,0.0,0.0,0,0,0,0.0,0,0,26,SCAREWARE_AVPASS
